sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25710_,0.476,37.387,-20.333,278.947,358.758,151.611,203.159,611.189,41,36,3.122,1.444,58.537,of locally unvoiced frames: 58.537%   (24 / 41),2,68.064,of voice breaks: 68.064%   (0.323879 seconds / 0.475845 seconds),20.114,628.013,12.069,14.939,42.194,3.867,13.717,21.692,14.25,0.622,0.672,2.352,965.094,1805.466,3072.323,4155.917
25714_ĐA_single,0.517,59.462,-9.78,196.365,197.932,8.691,187.524,231.463,97,96,5.052,0.215,0,of locally unvoiced frames: 0   (0 / 45),0,0,of voice breaks: 0   (0 seconds / 0.517361 seconds),0.55,27.797,0.236,0.247,2.685,0.332,1.079,1.301,1.424,0.985,0.016,20.898,917.36,1836.454,2812.971,3896.809
25718_,1.975,54.712,-15.903,211.6,207.363,15.542,173.374,262.447,226,222,4.835,0.37,41.989,of locally unvoiced frames: 41.989%   (76 / 181),2,7.906,of voice breaks: 7.906%   (0.156121 seconds / 1.974622 seconds),1.287,62.212,0.574,0.619,6.019,0.681,2.301,3.864,7.819,0.944,0.073,16.414,796.858,1900.518,3020.95,4024.276
25722_đa,0.213,60.884,-12.266,209.569,210.11,2.248,206.443,214.81,38,37,4.758,0.054,0,of locally unvoiced frames: 0   (0 / 16),0,0,of voice breaks: 0   (0 seconds / 0.213339 seconds),0.27,12.855,0.11,0.146,2.226,0.205,0.685,1.114,1.567,0.99,0.01,21.296,943.143,1958.352,2918.436,3957.07
25726_,2.368,56.886,-17.194,205.885,200.865,15.529,167.779,248.148,389,385,4.982,0.416,17.431,of locally unvoiced frames: 17.431%   (38 / 218),3,17.741,of voice breaks: 17.741%   (0.420180 seconds / 2.368354 seconds),1.258,62.684,0.511,0.701,5.668,0.777,1.973,3.252,7.005,0.954,0.056,17.472,662.751,1809.725,3041.422,4016.315
25730_đa,0.226,60.808,-7.93,206.666,206.966,1.903,204.238,211.908,42,41,4.829,0.049,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.225683 seconds),0.288,13.887,0.124,0.176,2.756,0.258,0.979,1.446,1.746,0.982,0.018,19.211,957.175,1981.309,2946.121,3907.672
25734_,2.596,56.153,-16.301,208.058,201.528,15.734,167.697,243.265,371,367,4.967,0.406,26.778,of locally unvoiced frames: 26.778%   (64 / 239),3,28.527,of voice breaks: 28.527%   (0.740617 seconds / 2.596234 seconds),1.058,52.541,0.444,0.546,5.871,0.711,1.899,3.309,6.855,0.959,0.049,17.442,667.909,1875.055,3041.859,3996.533
25738_đã,0.274,58.259,-9.252,210.072,218.336,15.282,204.115,242.34,54,53,4.579,0.31,0,of locally unvoiced frames: 0   (0 / 22),0,0,of voice breaks: 0   (0 seconds / 0.273972 seconds),0.648,29.691,0.263,0.253,4.802,0.426,1.698,2.184,4.667,0.961,0.042,14.956,974.464,1916.576,2901.956,3926.598
25742_,2.417,56.234,-17.358,209.818,204.512,19.38,165.264,258.926,415,411,4.891,0.484,14.865,of locally unvoiced frames: 14.865%   (33 / 222),3,15.512,of voice breaks: 15.512%   (0.374854 seconds / 2.416534 seconds),1.168,57.138,0.511,0.546,5.641,0.746,1.976,3.297,5.835,0.958,0.05,17.731,662.872,1756.214,3047.758,3985.335
25746_đã,0.233,57.206,-12.743,197.332,187.326,40.145,103.522,221.552,37,36,5.528,2.295,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.232558 seconds),5.866,324.309,2.19,0.211,6.568,0.606,1.648,3.481,7.76,0.91,0.109,11.633,971.395,1918.477,2892.3,3820.257
